filler_family,target_added_tokens,actual_added_tokens,layer,position_group,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
cards,0,0,24,subject_span,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,24,unrelated_pre_subject_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,25,all_prompt_positions_oracle,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,25,identity_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,25,post_subject_excluding_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,25,post_subject_including_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,25,readout_token,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,25,subject_span,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,25,unrelated_pre_subject_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,26,all_prompt_positions_oracle,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,26,identity_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,26,post_subject_excluding_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,26,post_subject_including_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,26,readout_token,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,26,subject_span,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,26,unrelated_pre_subject_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,27,all_prompt_positions_oracle,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,27,identity_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
