placement,filler_family,target_added_tokens,actual_added_tokens,layer,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
gap,cards,8,10,4,combined_attention_effect,0.0015734976508828403,0.0,0.0074034392164412655,-0.0019548239510031136,0.004833729857307604,16,8,20260716,2000
gap,cards,8,10,5,combined_attention_effect,-0.0014691063320971974,0.0,0.008307238895138399,-0.006767696022366254,0.0031818181818181516,16,8,20260716,2000
gap,cards,8,10,6,combined_attention_effect,-0.0009344483850686619,0.0,0.007396598013231199,-0.003919472428032053,0.002055921052631572,16,8,20260716,2000
gap,cards,8,10,7,combined_attention_effect,-0.0016023111113836084,0.0,0.010475323029438712,-0.007556749586986908,0.0034580084470435266,16,8,20260716,2000
gap,cards,8,10,8,combined_attention_effect,-0.0005694157087909182,0.0,0.009450850077250026,-0.006129726920176444,0.003565671968704371,16,8,20260716,2000
gap,cards,8,10,9,combined_attention_effect,0.00221470364600718,0.0,0.011459415426315817,-0.004108480768517486,0.00699085426634766,16,8,20260716,2000
gap,cards,8,10,10,combined_attention_effect,-0.0025483821013518706,0.0,0.0066436368509075775,-0.006354578639432728,0.0010479652450659062,16,8,20260716,2000
gap,cards,8,10,11,combined_attention_effect,0.001028736692278997,0.0030864197530864,0.010204564393990149,-0.004628026357402395,0.006289085574310331,16,8,20260716,2000
gap,cards,8,10,12,combined_attention_effect,-0.001605934969211763,0.0,0.008377076182895836,-0.005612976950692603,0.00223484848484847,16,8,20260716,2000
gap,cards,8,10,13,combined_attention_effect,0.002975012802397983,2.168404344971009e-17,0.007666096658857299,-0.0007151543197490508,0.006209306857400563,16,8,20260716,2000
gap,cards,8,10,14,combined_attention_effect,-0.0009473699988674646,0.0,0.007413307801277364,-0.004544964500939726,0.002947166397416276,16,8,20260716,2000
gap,cards,8,10,15,combined_attention_effect,-0.0023748474952588004,-0.0030864197530864573,0.012009325525030435,-0.008848606875079422,0.00372388357256775,16,8,20260716,2000
gap,cards,8,10,16,combined_attention_effect,-0.0006833871223218078,0.0,0.010177017452200995,-0.005194072572419421,0.004500230410228235,16,8,20260716,2000
gap,cards,8,10,17,combined_attention_effect,-0.00040544042968405865,0.0,0.010017003208918483,-0.0064759334566489345,0.005063370362986571,16,8,20260716,2000
gap,cards,8,10,18,combined_attention_effect,0.0012853868749609565,2.168404344971009e-17,0.008702421895124612,-0.0033190672464146745,0.0054606739913757255,16,8,20260716,2000
gap,cards,8,10,19,combined_attention_effect,-0.001064924058434997,0.0,0.009230393916699197,-0.0053262876947986326,0.003156105683428071,16,8,20260716,2000
gap,cards,8,10,20,combined_attention_effect,0.002240940102782214,0.0,0.007865137923531822,-0.0006708532695374745,0.005282235734538361,16,8,20260716,2000
gap,cards,8,10,21,combined_attention_effect,0.0019494670400477352,0.0,0.011077512462685197,-0.004917680003288003,0.009601485855462858,16,8,20260716,2000
gap,cards,8,10,22,combined_attention_effect,0.013735776125961878,0.012480620155038757,0.010495387864524638,0.008334296020831779,0.019154855785774916,16,8,20260716,2000
gap,cards,8,10,23,combined_attention_effect,0.05107322175285817,0.04776453055141579,0.024761705951967857,0.035500121059637554,0.06647286665419413,16,8,20260716,2000
