placement,filler_family,target_added_tokens,actual_added_tokens,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples,metric
prefix,room,64,66,strongest_attention_transfer_effect,0.21553636959911754,0.19606050531914893,0.04892982006554852,0.18601553265366433,0.24797451406908352,16,8,20260716,2000,strongest_attention_transfer_effect
prefix,room,128,127,strongest_attention_transfer_effect,0.19132399974961695,0.19073755201607115,0.05202846081575322,0.1584094446381304,0.2243710294076087,16,8,20260716,2000,strongest_attention_transfer_effect
gap,cards,0,0,subject_recovery_auc,23.673126447957,23.403409090909093,2.4224595695090647,22.841415157185683,24.57680693457358,16,8,20260716,2000,subject_recovery_auc
gap,cards,8,10,subject_recovery_auc,24.74014921992356,24.701010101010098,1.5303867144094456,23.915549806708395,25.611292313032553,16,8,20260716,2000,subject_recovery_auc
gap,cards,32,29,subject_recovery_auc,26.812416774216118,26.151639344262296,2.8539467265710625,25.376073454390394,28.303322045680726,16,8,20260716,2000,subject_recovery_auc
gap,cards,64,68,subject_recovery_auc,27.33402131519361,27.070175438596493,2.593606141651003,25.965779810187367,28.699785334716054,16,8,20260716,2000,subject_recovery_auc
gap,cards,128,126,subject_recovery_auc,28.788251508084084,28.470046854082998,2.4184936010692137,27.65037569313013,29.88293398075951,16,8,20260716,2000,subject_recovery_auc
gap,meadow,0,0,subject_recovery_auc,23.673126447957,23.403409090909093,2.4224595695090647,22.841415157185683,24.57680693457358,16,8,20260716,2000,subject_recovery_auc
gap,meadow,8,8,subject_recovery_auc,27.16662193115646,27.471762414800388,2.4196023820647126,26.006619678265423,28.175722392665318,16,8,20260716,2000,subject_recovery_auc
gap,meadow,32,35,subject_recovery_auc,27.025564443510092,26.48809523809524,3.1198466011940296,25.727105400102328,28.296484246384807,16,8,20260716,2000,subject_recovery_auc
gap,meadow,64,69,subject_recovery_auc,27.39441111810806,27.558068938503723,3.474045844577405,25.906291642097955,28.811375658036237,16,8,20260716,2000,subject_recovery_auc
gap,meadow,128,125,subject_recovery_auc,28.66564336857801,29.092140921409214,2.1842132398061858,27.50813021008707,29.6846723072137,16,8,20260716,2000,subject_recovery_auc
gap,room,0,0,subject_recovery_auc,23.673126447957,23.403409090909093,2.4224595695090647,22.841415157185683,24.57680693457358,16,8,20260716,2000,subject_recovery_auc
gap,room,8,8,subject_recovery_auc,24.979680752788884,24.87785429503443,2.105958180857232,23.78301160392141,26.268655443858382,16,8,20260716,2000,subject_recovery_auc
gap,room,32,28,subject_recovery_auc,27.31994523746551,27.0,3.1867883761367084,25.75318236122104,28.82628472897857,16,8,20260716,2000,subject_recovery_auc
gap,room,64,66,subject_recovery_auc,28.40189702972345,28.31712962962963,1.9723589395605383,27.392884292677515,29.361548629829322,16,8,20260716,2000,subject_recovery_auc
gap,room,128,127,subject_recovery_auc,29.06289584673403,29.30120652543333,2.529327843207231,28.181531345319662,29.945960310831243,16,8,20260716,2000,subject_recovery_auc
prefix,cards,0,0,subject_recovery_auc,23.673126447957,23.403409090909093,2.4224595695090647,22.841415157185683,24.57680693457358,16,8,20260716,2000,subject_recovery_auc
prefix,cards,8,10,subject_recovery_auc,25.152637217886987,25.36350574712644,2.0877625652989753,23.98017062165981,26.507581094527623,16,8,20260716,2000,subject_recovery_auc
prefix,cards,32,29,subject_recovery_auc,24.473088704932007,24.394214608920493,1.603307363098135,23.54720711009628,25.481517443393276,16,8,20260716,2000,subject_recovery_auc
prefix,cards,64,68,subject_recovery_auc,24.068339613846373,24.113324175824175,1.5852726530628485,23.333290303427468,24.92069072512136,16,8,20260716,2000,subject_recovery_auc
prefix,cards,128,126,subject_recovery_auc,23.50596926051893,23.14235055724417,1.6653713794128306,22.83986213703101,24.281031564227117,16,8,20260716,2000,subject_recovery_auc
prefix,meadow,0,0,subject_recovery_auc,23.673126447957,23.403409090909093,2.4224595695090647,22.841415157185683,24.57680693457358,16,8,20260716,2000,subject_recovery_auc
